x_ch,y_ch,Qx,Qy,Qz,Int
0,0,0.6893041701308324,1.735879964421656,0.4265458784062007,0
0,1,0.6805385349183202,1.725780937809759,0.4268883502721106,0
0,2,0.6718091854976014,1.7156222658386469,0.4272205613097022,0
0,3,0.6631169881332757,1.7054044800343036,0.42754243700964684,0
0,4,0.6544628046261427,1.6951281279452814,0.42785390488244524,0
0,5,0.6458474919330333,1.6847937730499325,0.42815489450238214,0
0,6,0.6372719017930071,1.674401994643631,0.4284453375504945,0
0,7,0.628736880350822,1.663953387717811,0.42872516785650333,0
0,8,0.6202432677804031,1.653448562829908,0.4289943214396596,0
0,9,0.6117918979101309,1.6428881459569311,0.4292527365484576,0
0,10,0.6033835978563151,1.6322727783463051,0.42950035369916667,0
0,11,0.5950191876457542,1.6216031163494335,0.4297371157131369,0
0,12,0.5866994798510281,1.6108798312443469,0.4299629677528323,0
0,13,0.5784252792267002,1.6001036090556227,0.43017785735654973,0
0,14,0.5701973823455195,1.5892751503488398,0.4303817344717789,0
0,15,0.56201657724008,1.5783951700313992,0.43057455148716484,0
0,16,0.5538836430490268,1.5674643971315163,0.4307562632630312,0
0,17,0.5457993496641724,1.5564835745717573,0.4309268271604279,0
0,18,0.5377644573885267,1.5454534589289324,0.43108620306866713,0
0,19,0.529779716590689,1.534374820186713,0.4312343534313115,0
0,20,0.5218458673719728,1.5232484414818828,0.4313712432705829,0
0,21,0.513963639233531,1.5120751188323993,0.4314968402101618,0
0,22,0.5061337507543944,1.500855660860907,0.4316111144963462,0
0,23,0.49835690927133003,1.4895908885146127,0.4317140390175447,0
0,24,0.49063381056779365,1.4782816347615153,0.43180558932207863,0
0,25,0.48296513856924905,1.4669287442966379,0.43188574363426935,0
0,26,0.4753515650439444,1.4555330732227958,0.4319544828687917,0
0,27,0.46779374931460227,1.4440954887331827,0.43201179064327366,0
0,28,0.460292337975567,1.4326168687857717,0.43205765328912693,0
0,29,0.45284796461631815,1.4210981017631639,0.43209205986059324,0
0,30,0.44546124955589805,1.4095400861324379,0.43211500214199655,0
0,31,0.43813279958916285,1.397943730096813,0.4321264746531897,0
0,32,0.43086320773212394,1.3863099512363988,0.4321264746531897,0
0,33,0.4236530529845699,1.374639676143488,0.43211500214199655,0
0,34,0.41650290010087376,1.362933840059668,0.43209205986059324,0
0,35,0.40941329936716686,1.3511933864965613,0.43205765328912693,0
0,36,0.40238478638942654,1.339419266855657,0.43201179064327366,0
0,37,0.3954178818952063,1.3276124400463232,0.4319544828687917,0
0,38,0.38851309153718505,1.3157738720938141,0.43188574363426935,0
0,39,0.3816709057176344,1.3039045357454597,0.43180558932207863,0
0,40,0.3748917994119769,1.2920054100750349,0.4317140390175447,0
0,41,0.36817623201326244,1.280077480078944,0.4316111144963462,0
0,42,0.36152464717846344,1.268121736273315,0.4314968402101618,0
0,43,0.3549374726911414,1.2561391742874548,0.4313712432705829,0
0,44,0.348415120335027,1.244130794452758,0.4312343534313115,0
0,45,0.34195798577305725,1.2320976013925247,0.43108620306866713,0
0,46,0.3355664484446028,1.2200406036090499,0.4309268271604279,0
0,47,0.32924087146633285,1.2079608130679844,0.4307562632630312,0
0,48,0.3229816015503606,1.1958592447872434,0.43057455148716484,0
0,49,0.3167889689333028,1.18373691641591,0.4303817344717789,0
0,50,0.31066328730897697,1.1715948478240534,0.43017785735654973,0
0,51,0.3046048537792889,1.1594340606861806,0.4299629677528323,0
0,52,0.29861394881785275,1.1472555780646871,0.4297371157131369,0
0,53,0.29269083623543013,1.135060424000585,0.42950035369916667,0
0,54,0.2868357631653784,1.1228496230996825,0.4292527365484576,0
0,55,0.2810489600545556,1.1106242001224018,0.4289943214396596,0
0,56,0.2753306406705964,1.0983851795790542,0.42872516785650333,0
0,57,0.2696810021110072,1.0861335853214769,0.4284453375504945,0
0,58,0.2641002248331792,1.073870440142855,0.42815489450238214,0
0,59,0.25858847268622087,1.0615967653811822,0.42785390488244524,0
0,60,0.25314589296007073,1.0493135805190832,0.42754243700964684,0
0,61,0.24777261643824788,1.0370219027981875,0.4272205613097022,0
0,62,0.2424687574697022,1.0247227468289566,0.4268883502721106,0
0,63,0.23723441403793588,1.0124171242096054,0.4265458784062007,0
1,0,0.6877200066795344,1.737273695039221,0.41333633915236107,0
1,1,0.6789447743279529,1.7271687885604479,0.4136687389003277,0
1,2,0.6702059093916763,1.7170040979272017,0.4139911808214916,0
1,3,0.6615042807018985,1.7067801553803292,0.41430359248584653,0
1,4,0.652840752611461,1.6964975092496388,0.4146059034261149,0
1,5,0.6442161846137755,1.686156723852946,0.41489804518054013,0
1,6,0.6356314309681115,1.675758379384206,0.4151799513347199,0
1,7,0.6270873403176087,1.6653030717952788,0.4154515575624305,0
1,8,0.6185847553136559,1.6547914126640535,0.4157128016653955,0
1,9,0.6101245122439072,1.6442240290480186,0.41596362361195194,0
1,10,0.6017074406530232,1.6336015633332863,0.4162039655745664,0
1,11,0.5933343629715968,1.6229246730699742,0.41643377196615905,0
1,12,0.5850060941514461,1.612194030795763,0.4166529894751882,0
1,13,0.5767234412927214,1.6014103238467214,0.4168615670994562,0
1,14,0.5684872032828356,1.590574254164494,0.41705945617859247,0
1,15,0.560298170438124,1.5796865380862073,0.4172466104251762,0
1,16,0.5521571241436836,1.56874790612801,0.41742298595445804,0
1,17,0.5440648365032179,1.5577591027531525,0.4175885413126458,0
1,18,0.5360220699916103,1.5467208861355175,0.417743237503717,0
1,19,0.5280295771111345,1.5356340279122378,0.41788703801472643,0
1,20,0.5200881000558515,1.5244993129235809,0.4180199088395749,0
